offChipTempValue,offChipTempStatus,offChipTempMessage,onboardBrightnessValue,onboardBrightnessStatus,onboardBrightnessMessage,onboardTemperatureValue,onboardTemperatureStatus,onboardHumidityValue,onboardHumidityStatus,onboardTemperatureMessage,onboardHumidityMessage,barometerTemperaturValue,barometerTemperaturStatus,barometerPressureValue,barometerPressureStatus,barometerTemperatureMessage,barometerPressureMessage,presenceValue,presenceStatus,presenceMessage,rilevationTime,imei,props
21.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,35.0,OK,,,23.0,OK,101352.0,OK,,,0,OK,No humans detected!,2020-01-12T11:31:25.000365,000000001b982f0d,[]
21.0,OK,,255.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101368.0,OK,,,0,OK,No humans detected!,2020-01-12T11:30:49.000721,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101367.0,OK,,,0,OK,No humans detected!,2020-01-12T11:23:06.000797,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101354.0,OK,,,0,OK,No humans detected!,2020-01-12T11:23:05.000786,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101370.0,OK,,,0,OK,No humans detected!,2020-01-12T11:21:52.000277,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101364.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:21:43.000911,000000001b982f0d,[]
22.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,35.0,OK,,,24.0,OK,101356.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:19:12.000174,000000001b982f0d,[]
22.0,OK,,255.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101361.0,OK,,,0,OK,No humans detected!,2020-01-12T11:12:27.000937,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101360.0,OK,,,0,OK,No humans detected!,2020-01-12T11:10:19.000602,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101367.0,OK,,,0,OK,No humans detected!,2020-01-12T11:08:24.000865,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101378.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T11:04:25.000610,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101377.0,OK,,,0,OK,No humans detected!,2020-01-12T11:00:07.000169,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,23.0,OK,101369.0,OK,,,0,OK,No humans detected!,2020-01-12T10:57:39.000989,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101370.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:56:55.000262,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,32.0,OK,,,23.0,OK,101388.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:45:16.000371,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,33.0,OK,,,24.0,OK,101371.0,OK,,,0,OK,No humans detected!,2020-01-12T10:43:48.000276,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,33.0,OK,,,23.0,OK,101380.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:41:44.000819,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,33.0,OK,,,23.0,OK,101375.0,OK,,,0,OK,No humans detected!,2020-01-12T10:41:37.000497,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,32.0,OK,,,24.0,OK,101373.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:38:06.000815,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,32.0,OK,,,23.0,OK,101389.0,OK,,,0,OK,No humans detected!,2020-01-12T10:37:37.000353,000000001b982f0d,[]
20.0,OK,,0.0,OK,,22.0,OK,32.0,OK,,,24.0,OK,101372.0,OK,,,0,OK,No humans detected!,2020-01-12T10:35:24.000589,000000001b982f0d,[]
22.0,OK,,0.0,KO,Onboard brightness sensor overrange!,22.0,OK,34.0,OK,,,24.0,OK,101362.0,OK,,,0,OK,No humans detected!,2020-01-12T10:31:52.000690,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,33.0,OK,,,24.0,OK,101381.0,OK,,,0,OK,No humans detected!,2020-01-12T10:31:43.000583,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,35.0,OK,,,24.0,OK,101370.0,OK,,,0,OK,No humans detected!,2020-01-12T10:26:54.000382,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101358.0,OK,,,0,OK,No humans detected!,2020-01-12T10:25:54.000798,000000001b982f0d,[]
21.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101384.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:24:30.000394,000000001b982f0d,[]
